id_univoco_globale;IdBra;titolo;autore;strumento;volume;PercRadice;PercResto;PrimoLInk;TipoMulti;TipoDocu;ArchivioProvenienza;NumPag;NumOrig;IdVolume;IdAutore
33;13754;A Few Good Men -Parts- arr Gordon Goodwin;Gordon Goodwin;C,Bb,Eb;A Few Good Men -Parts- arr Gordon Goodwin.pdf;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\A Few Good Men -Parts- arr Gordon Goodwin.pdf;PDF;B;BIGBAND;;;;
34;19741;A Fine Romance;;C,Bb,Eb;A Fine Romance.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Fine Romance.MGU;BiaB;B;BiaB;;;;
35;19742;A Fine Romance - Jerome Kern;;C,Bb,Eb;A Fine Romance - Jerome Kern.MG1;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Fine Romance - Jerome Kern.MG1;BiaB;B;BiaB;;;;
37;19744;A Foggy Day;;C,Bb,Eb;A Foggy Day.MG1;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Foggy Day.MG1;BiaB;B;BiaB;;;;
38;19745;A Foggy Day;;C,Bb,Eb;A Foggy Day.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Foggy Day.MGU;BiaB;B;BiaB;;;;
39;19743;A FOGGY DAY;;C,Bb,Eb;A FOGGY DAY FOGYDAY.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A FOGGY DAY FOGYDAY.MGU;BiaB;B;BiaB;;;;
41;15045;A Foggy Day - FULL Big Band -SCORE PARTS Arr Lennie Niehaus;Lennie Neihaus;C,Bb,Eb;A Foggy Day - FULL Big Band -SCORE PARTS Arr Lennie Niehaus.pdf;C:\JamsetPDF;:\Pigneto\pdf Orchestrali\; Q:\Pigneto\pdf Orchestrali\A Foggy Day - FULL Big Band -SCORE PARTS Arr Lennie Niehaus.pdf;PDF;B;BIGBAND;;;;
42;19746;A Foggy Day - George and Ira Gershwin;;C,Bb,Eb;A Foggy Day - George And Ira Gershwin.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Foggy Day - George And Ira Gershwin.MGU;BiaB;B;BiaB;;;;
43;19747;A Foggy Day - Gershwin;;C,Bb,Eb;A Foggy Day - Gershwin.MG1;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Foggy Day - Gershwin.MG1;BiaB;B;BiaB;;;;
44;24785;A foggy day- Gershwin George-SCORE PARTS Arr Guy Bergeron;Guy Bergeron;C,Bb,Eb;A foggy day- Gershwin George-SCORE PARTS Arr Guy Bergeron .pdf;C:\JamsetPDF;\SaxQ\;C:\SaxQ\A foggy day- Gershwin George-SCORE PARTS Arr Guy Bergeron .pdf;PDF;B;BIGBAND;;;;
45;19749;A foggy day in London town;;C,Bb,Eb;A Foggy Day In London Town.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Foggy Day In London Town.MGU;BiaB;B;BiaB;;;;
46;19748;A foggy day in London town;;C,Bb,Eb;A Foggy Day In London Town Afoggy~2.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Foggy Day In London Town Afoggy~2.MGU;BiaB;B;BiaB;;;;
47;13755;A Foggy Day-Gershwin-Parti-arr Dave Wolpe;Dave Wolpe;C,Bb,Eb;A Foggy Day-Gershwin-Parti-arr Dave Wolpe.pdf;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\A Foggy Day-Gershwin-Parti-arr Dave Wolpe.pdf;PDF;B;BIGBAND;;;;
49;13756;A Gentle Touch - arr Paul Clarc - PDF SIB;Paul Clark;C,Bb,Eb;A Gentle Touch - arr Paul Clarc - PDF  SIB;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\A Gentle Touch - arr Paul Clarc - PDF  SIB;DIR;B;BIGBAND;;;;
50;13757;A Gentle Touch -Score-Comp arr Paul Clark;Paul Clark;C,Bb,Eb;A Gentle Touch -Score-Comp arr Paul Clark.pdf;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\A Gentle Touch -Score-Comp arr Paul Clark.pdf;PDF;B;BIGBAND;;;;
51;14547;"A Gentle Touch; Back Jazz Ballad-Arr Paul Clarc";Paul Clark;C,Bb,Eb;"A Gentle Touch; Back Jazz Ballad-Arr Paul Clarc.xml";C:\JamsetPDF;\BBAVol4\;"P:\BBAVol4\A Gentle Touch; Back Jazz Ballad-Arr Paul Clarc.xml";XML;B;BIGBAND;;;;
52;14546;"A Gentle Touch; Back Jazz Ballad-Arr Paul Clarc";Paul Clark;C,Bb,Eb;"A Gentle Touch; Back Jazz Ballad-Arr Paul Clarc.sib";C:\JamsetPDF;\BBAVol4\;"P:\BBAVol4\A Gentle Touch; Back Jazz Ballad-Arr Paul Clarc.sib";SIB;B;BIGBAND;;;;
53;14545;"A Gentle Touch; Back Jazz Ballad-Arr Paul Clarc";Paul Clark;C,Bb,Eb;"A Gentle Touch; Back Jazz Ballad-Arr Paul Clarc.mus";C:\JamsetPDF;\BBAVol4\;"P:\BBAVol4\A Gentle Touch; Back Jazz Ballad-Arr Paul Clarc.mus";FIN;B;BIGBAND;;;;
54;9254;A GHOST OF A CHANCE;;Eb;The New Real Book (Eb) Vol.3.pdf;C:\JamsetPDF;\PDF REAL BOOK\BookEb\;P:\PDF REAL BOOK\BookEb\The New Real Book (Eb) Vol.3.pdf;PDF;B;Realbook;111;111;9236;
55;19750;A Good Man Is Hard To Find;;C,Bb,Eb;A Good Man Is Hard To Find.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Good Man Is Hard To Find.MGU;BiaB;B;BiaB;;;;
56;9494;A Good Man Is Hard to Find;;Eb;Hal Leonard real jazz standards fake book - Eb edition - hal leonard.pdf;C:\JamsetPDF;\PDF REAL BOOK\BookEb\;P:\PDF REAL BOOK\BookEb\Hal Leonard real jazz standards fake book - Eb edition - hal leonard.pdf;PDF;B;Realbook;145;;9433;
57;19751;A Good Man Is Hard To Find - Eddie Green;;C,Bb,Eb;A Good Man Is Hard To Find - Eddie Green.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Good Man Is Hard To Find - Eddie Green.MGU;BiaB;B;BiaB;;;;
58;19752;A Gordon For Me;;C,Bb,Eb;A Gordon For Me.MG8;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Gordon For Me.MG8;BiaB;B;BiaB;;;;
59;19753;A Hard Day's Night - Lennon/McCartney;;C,Bb,Eb;A Hard Day's Night - Lennon-mccartney.MGC;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Hard Day's Night - Lennon-mccartney.MGC;BiaB;B;BiaB;;;;
60;14548;A Hard Day's Night- Lennon;;C,Bb,Eb;A Hard Day's Night- Lennon.sib;C:\JamsetPDF;\BBAVol4\;P:\BBAVol4\A Hard Day's Night- Lennon.sib;SIB;B;BIGBAND;;;;
61;14549;A HOT NIGHT IN PARIS-Rock cha Cha- Comp e Arr Phil Collins;Phil Collins;C,Bb,Eb;A HOT NIGHT IN PARIS-Rock cha Cha- Comp e Arr Phil Collins.mus;C:\JamsetPDF;\BBAVol4\;P:\BBAVol4\A HOT NIGHT IN PARIS-Rock cha Cha- Comp e Arr Phil Collins.mus;FIN;B;BIGBAND;;;;
65;19754;A kiss to build a dream on;;C,Bb,Eb;A kiss to build a dream on.MG1;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A kiss to build a dream on.MG1;BiaB;B;BiaB;;;;
66;19755;A Little Bit More;;C,Bb,Eb;A Little Bit More Alittl~1.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Little Bit More Alittl~1.MGU;BiaB;B;BiaB;;;;
67;19756;A Little Bit More;;C,Bb,Eb;A Little Bit More.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Little Bit More.MGU;BiaB;B;BiaB;;;;
68;13758;A Little Blues, Please -Score Parts- comp arr Sammy Nestico;Sammy Nestico;C,Bb,Eb;A Little Blues, Please -Score Parts- comp arr Sammy Nestico.pdf;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\A Little Blues, Please -Score Parts- comp arr Sammy Nestico.pdf;PDF;B;BIGBAND;;;;
69;13759;A Little Night Music - Wolfganag Amadeus Mozart-SCORE-arr Mark Taylor;Mark Taylor;C,Bb,Eb;A Little Night Music - Wolfganag Amadeus Mozart-SCORE-arr Mark Taylor.pdf;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\A Little Night Music - Wolfganag Amadeus Mozart-SCORE-arr Mark Taylor.pdf;PDF;B;BIGBAND;;;;
72;28396;A Little Of This?;;Eb;Aebersold - Vol.42 - Blues in all keys COMPLETO BbEb.pdf;C:\JamsetPDF;\Aeber\Vol.42 - Blues in all keys COMPLETO\;P:\Aeber\Vol.42 - Blues in all keys COMPLETO\Aebersold - Vol.42 - Blues in all keys COMPLETO BbEb.pdf;PDF;B;Aebersold;45;10;12405;
76;19757;A Little Tear;;C,Bb,Eb;A Little Tear.MG4;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Little Tear.MG4;BiaB;B;BiaB;;;;
77;8823;A LITTLE TEAR ;;Eb;The New Real Book (Eb) Vol.1.pdf;C:\JamsetPDF;\PDF REAL BOOK\BookEb\;P:\PDF REAL BOOK\BookEb\The New Real Book (Eb) Vol.1.pdf;PDF;B;Realbook;160;;8804;
88;19758;A Man And A Woman;;C,Bb,Eb;A Man And A Woman.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Man And A Woman.MGU;BiaB;B;BiaB;;;;
92;27627;A Man and A Woman (Un Homme Et Une Femme) ;;Eb;Hal Leonard - Vol.40 - Bossa Nova.pdf;C:\JamsetPDF;\Hal Leonard\Hal Leonard - Vol.040 - Bossa Nova-Interessante-Completo\;P:\Hal Leonard\Hal Leonard - Vol.040 - Bossa Nova-Interessante-Completo\Hal Leonard - Vol.40 - Bossa Nova.pdf;PDF;B;Hal Leonard - multi strum;48;;27624;
93;19759;A Mansion On The Hill;;C,Bb,Eb;A Mansion On The Hill.MGN;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Mansion On The Hill.MGN;BiaB;B;BiaB;;;;
94;19760;A Meia-Luz - Hime/Guerra;;C,Bb,Eb;A Meia-Luz - Hime-Guerra.MG4;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Meia-Luz - Hime-Guerra.MG4;BiaB;B;BiaB;;;;
97;19761;A Million To One;;C,Bb,Eb;A Million To One.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Million To One.MGU;BiaB;B;BiaB;;;;
98;13760;A Minor Affair-Score Parts - Arr Sammy Nestico;Sammy Nestico;C,Bb,Eb;A Minor Affair-Score Parts - Arr Sammy Nestico.PDF;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\A Minor Affair-Score Parts - Arr Sammy Nestico.PDF;PDF;B;BIGBAND;;;;
104;13761;A new look - score and Parts-Arr Matt Amy;Matt Amy;C,Bb,Eb;A new look - score and Parts-Arr Matt Amy.pdf;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\A new look - score and Parts-Arr Matt Amy.pdf;PDF;B;BIGBAND;;;;
105;13762;A Night at the Blue Note-Score -Comp arr Carl Strommen;Carl Strommen;C,Bb,Eb;A Night at the Blue Note-Score -Comp arr Carl Strommen.pdf;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\A Night at the Blue Note-Score -Comp arr Carl Strommen.pdf;PDF;B;BIGBAND;;;;
107;24094;A Night in the Cooler;;C,Bb,Eb;S4 44   -  A Night In The Cooler S444.MGU;C:\JamsetPDF;\BiabDBRicerca\BluesRockSolo\;O:\BiabDBRicerca\BluesRockSolo\S4 44   -  A Night In The Cooler S444.MGU;BiaB;B;Biab;;;;
108;24242;A Night in the Cooler;;C,Bb,Eb;S4 44   -  A Night In The Cooler S444.MGU;C:\JamsetPDF;\BiabDBRicerca\BluesRockSolo\;O:\BiabDBRicerca\BluesRockSolo\S4 44   -  A Night In The Cooler S444.MGU;BiaB;B;Biab;;;;
109;24243;A Night in the Cooler;;C,Bb,Eb;S4 44   -  A Night In The Cooler.MGU;C:\JamsetPDF;\BiabDBRicerca\BluesRockSolo\;O:\BiabDBRicerca\BluesRockSolo\S4 44   -  A Night In The Cooler.MGU;BiaB;B;Biab;;;;
110;24095;A Night in the Cooler;;C,Bb,Eb;S4 44   -  A Night In The Cooler.MGU;C:\JamsetPDF;\BiabDBRicerca\BluesRockSolo\;O:\BiabDBRicerca\BluesRockSolo\S4 44   -  A Night In The Cooler.MGU;BiaB;B;Biab;;;;
111;19762;A night in Tunesia (Dizzy);;C,Bb,Eb;A night in Tunesia (Dizzy).MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A night in Tunesia (Dizzy).MGU;BiaB;B;BiaB;;;;
112;19764;A Night in Tunisia;;C,Bb,Eb;A Night In Tunisia.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Night In Tunisia.MGU;BiaB;B;BiaB;;;;
113;19763;A Night In Tunisia;;C,Bb,Eb;A Night In Tunisia.MG1;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Night In Tunisia.MG1;BiaB;B;BiaB;;;;
117;25277;A Night in Tunisia;Dizzy Gillespie;Eb;Hal Leonard - Jazz & Blues - Playalong Solos For Alto Eb Saxophone.pdf;C:\JamsetPDF;\Hal Leonard\;P:\Hal Leonard\Hal Leonard - Jazz & Blues - Playalong Solos For Alto Eb Saxophone.pdf;PDF;B;Hal Leonard Soli;5;;25248;
118;19765;A NIGHT IN TUNISIA by Dizzy Gillespie;;C,Bb,Eb;A Night In Tunisia By Dizzy Gillespie.MG1;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Night In Tunisia By Dizzy Gillespie.MG1;BiaB;B;BiaB;;;;
119;13763;A Night in Tunisia -Parti-arr Buddy Clark;Buddy Clark;C,Bb,Eb;A Night in Tunisia -Parti-arr Buddy Clark.pdf;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\A Night in Tunisia -Parti-arr Buddy Clark.pdf;PDF;B;BIGBAND;;;;
120;19766;A night with you/J.S.Jantunen;;C,Bb,Eb;A night with you-J.S.Jantunen.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A night with you-J.S.Jantunen.MGU;BiaB;B;BiaB;;;;
121;19767;A Nightengale Sang in Barkley Square;;C,Bb,Eb;A Nightengale Sang in Barkley Square.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Nightengale Sang in Barkley Square.MGU;BiaB;B;BiaB;;;;
122;9594;A Nightingale Sang in Berkeley Square;;Eb;Hal Leonard real jazz standards fake book - Eb edition - hal leonard.pdf;C:\JamsetPDF;\PDF REAL BOOK\BookEb\;P:\PDF REAL BOOK\BookEb\Hal Leonard real jazz standards fake book - Eb edition - hal leonard.pdf;PDF;B;Realbook;368;;9433;
125;19716;(GREENSLEEVES) WHAT CHILD IS THIS;;C,Bb,Eb;(GREENSLEEVES) WHAT CHILD IS THIS.MG8;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\(GREENSLEEVES) WHAT CHILD IS THIS.MG8;BiaB;B;BiaB;;;;
126;19717;(GREENSLEEVES) WHAT CHILD IS THIS;;C,Bb,Eb;(greensleeves) What Child Is This.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\(greensleeves) What Child Is This.MGU;BiaB;B;BiaB;;;;
127;14236;(I Could Only) Whisper Your Name-SCORE SheetMusicTradeCom-arr Harry Connick Jr;Harry Connick Jr;C,Bb,Eb;(I Could Only) Whisper Your Name-SCORE SheetMusicTradeCom-arr Harry Connick Jr.pdf;C:\JamsetPDF;\BBAVol3\;P:\BBAVol3\(I Could Only) Whisper Your Name-SCORE SheetMusicTradeCom-arr Harry Connick Jr.pdf;PDF;B;BIGBAND;;;;
128;14237;(I Could Only) Whisper Your Name-SheetMusicTradeCom-arr Harry Connick Jr;Harry Connick Jr;C,Bb,Eb;(I Could Only) Whisper Your Name-SheetMusicTradeCom-arr Harry Connick Jr.sib;C:\JamsetPDF;\BBAVol3\;P:\BBAVol3\(I Could Only) Whisper Your Name-SheetMusicTradeCom-arr Harry Connick Jr.sib;SIB;B;BIGBAND;;;;
129;14238;(I Could Only) Whisper Your Name-SheetMusicTradeCom-arr Harry Connick Jr;Harry Connick Jr;C,Bb,Eb;(I Could Only) Whisper Your Name-SheetMusicTradeCom-arr Harry Connick Jr.xml;C:\JamsetPDF;\BBAVol3\;P:\BBAVol3\(I Could Only) Whisper Your Name-SheetMusicTradeCom-arr Harry Connick Jr.xml;XML;B;BIGBAND;;;;
138;25946;(Sittin' On) The Dock Of The Bay;;Eb;Hal Leonard - R&B Classics (For Alto Sax).pdf;C:\JamsetPDF;\Hal Leonard\Hal Leonard - R&B Classics (For Alto Sax)\;P:\Hal Leonard\Hal Leonard - R&B Classics (For Alto Sax)\Hal Leonard - R&B Classics (For Alto Sax).pdf;PDF;B;Hal Leonard;5;;25945;
141;9420;(USED TO BE A) CHA-CHA;;Eb;The New Real Book (Eb) Vol.3.pdf;C:\JamsetPDF;\PDF REAL BOOK\BookEb\;P:\PDF REAL BOOK\BookEb\The New Real Book (Eb) Vol.3.pdf;PDF;B;Realbook;319;319;9236;
144;12525;[What's New] - Vol.93;;C,Bb,Eb;;C:\JamsetPDF;;P:\Aeber\Vol.93 - [What's New]\;DIR;V;Aebersold;0;;;
145;12526;[What's New] - Vol.93;;C,Bb,Eb;Aebersold - Vol. 093 - [What's New] COMPLETO.pdf;C:\JamsetPDF;\Aeber\Vol.93 - [What's New]\;P:\Aeber\Vol.93 - [What's New]\Aebersold - Vol. 093 - [What's New] COMPLETO.pdf;PDF;V;Aebersold;0;;12526;
152;13729;002 - Gipsy In My Soul;;C,Bb,Eb;002 - Gipsy In My Soul;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\002 - Gipsy In My Soul;DIR;B;BIGBAND;;;;
154;24676;10 RagazzePerMe-LucioBattisti;Lucio Battisti;C,Bb,Eb;10 RagazzePerMe-LucioBattisti.MGX;C:\JamsetPDF;\BiabDBRicerca\ItalianeLeggera\;O:\BiabDBRicerca\ItalianeLeggera\10 RagazzePerMe-LucioBattisti.MGX;BiaB;B;Biab;;;24594;
155;13730;100 ore di felicit… - Konstantin Orbelyan V.Tushnova;;C,Bb,Eb;100 ore di felicit… - Konstantin Orbelyan V.Tushnova.sib;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\100 ore di felicit… - Konstantin Orbelyan V.Tushnova.sib;SIB;B;BIGBAND;;;;
156;13731;10-Singing the Blues(arr WOLPE);Wolpe;C,Bb,Eb;10-Singing the Blues(arr WOLPE).zip;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\10-Singing the Blues(arr WOLPE).zip;COM;B;BIGBAND;;;;
157;13732;111;;C,Bb,Eb;111.zip;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\111.zip;COM;B;BIGBAND;;;;
159;13733;1-2 o'clock Jump (arr WOLPE);Wolpe;C,Bb,Eb;1-2 o'clock Jump (arr WOLPE).zip;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\1-2 o'clock Jump (arr WOLPE).zip;COM;B;BIGBAND;;;;
162;8124;12-4 2-4/Duplicities;;Eb;Real Book1 Eb.pdf;C:\JamsetPDF;\PDF REAL BOOK\BookEb\;P:\PDF REAL BOOK\BookEb\Real Book1 Eb.pdf;PDF;B;Realbook;127;;7974;
